"Name","NumberValue","BooleanValue","TextValue","NumberArray","AltNumberArray","StringArray","AltStringArray","HexArray"
"String","int","boolean","string","int","int","String","String","String"
"ALLIANCE_CREATE_COST",40000,,,,,,,
"ALLIANCE_CREATE_RESOURCE",,,"Food",,,,,
"MAX_ALLIANCE_FEEDBACK_MESSAGE_LENGTH",100,,,,,,,
"MAX_ALLIANCE_MAIL_LENGTH",256,,,,,,,
"MAX_MESSAGE_LENGTH",800,,,,,,,
"BOOKMARKS_MAX_ALLIANCES",30,,,,,,,
"INVITE_FRIENDS_TO_ALLIANCE",,"TRUE",,,,,,
,,,,,,,,
"ENABLE_NAME_CHANGE",,"TRUE",,,,,,
"ENABLE_NAME_CHANGE_TH_LEVEL",4,,,,,,,
"ALWAYS_ALLOW_NAME_CHANGE",,"FALSE",,,,,,
,,,,,,,,
"DEVELOPER_PAYLOAD_ENABLED",,"TRUE",,,,,,
,,,,,,,,
"ALLOW_CANCEL_BUILDING_CONSTRUCTION",,"TRUE",,,,,,
,,,,,,,,
"OBSTACLE_RESPAWN_SECONDS",14400,,,,,,,
,,,,,,,,
"OVERLAY_ENABLED",,"TRUE",,,,,,
,,,,,,,,
"MAJOR_LIMIT",20000,,,,,,,
"SUPER_LIMIT",100000,,,,,,,
,,,,,,,,
"DEVICE_LINK_CODE_LENGTH",12,,,,,,,
"DEVICE_LINK_CODE_VALID_SECONDS",120,,,,,,,
,,,,,,,,
"RECONNECT_THROUGH_PRODUCTION",,"TRUE",,,,,,
,,,,,,,,
"FREE_FOOD_LIMIT",5,,,,,,,
"ALLOW_OVERSTOCK",,"TRUE",,,,,,
"CONFIRM_WORKER_DRAGS",,"FALSE",,,,,,
"SELECT_WORKER_DRAG_TARGET",,"TRUE",,,,,,
"ASSIGN_WORK_BY_TAPPING",,"FALSE",,,,,,
"WORKERS_FOLLOW_CAMERA",,"FALSE",,,,,,
"CONSTRUCTION_PHASE_SECONDS",60,,,,,,,
"WORK_AUTOMATICALLY",,"FALSE",,,,,,
"BOOST_COST",1,,,,,,,
"BOOST_DURATION_SECONDS",60,,,,,,,
"BOOST_INITIAL_CAP_SECONDS",1800,,,,,,,
"BOOST_INITIAL_FILL_SECONDS",0,,,,,,,
"BOOST_FULL_REGENERATION_SECONDS",28800,,,,,,,
"BOOST_REGENERATION_PIECE_COUNT",30,,,,,,,
"BOOST_SPEED_MULTIPLIER",4,,,,,,,
"INITIAL_TOOL_INVENTORY_SIZE",30,,,,,,,
"SCRAP_PRICE_FOR_TOOL_BOX",10,,,,,,,
,,,,,,,,
"EXPLORATION_AREA_COUNT",5,,,,,,,
,,,,,,,,
"NUM_WORKERS_STARTING_HUNGRY",0,,,,,,,
"WORKER_EAT_TIME_MS",5000,,,,,,,
"ITEM_SLOT_COUNT_2_LEVEL",10,,,,,,,
"ITEM_SLOT_COUNT_3_LEVEL",10,,,,,,,
,,,,,,,,
"ELDER_COUNT",3,,,,,,,
"PERK_VOTE_DURATION_SECONDS",86400,,,,,,,
"PERK_DURATION_SECONDS",86400,,,,,,,
"MEMBER_RANK_VOTE_DURATION_SECONDS",86400,,,,,,,
"FREE_VOTE_DURATION_SECONDS",43200,,,,,,,
"VOTE_EXPIRY_SECONDS",86400,,,,,,,
,,,,,,,,
"NATION_ACTION_DELAY_MS",200,,,,,,,
,,,,,,,,
"STARTING_KNOWLEDGE_POINTS",0,,,,,,,
"NATION_STARTING_KNOWLEDGE_POINTS",10,,,,,,,
"NATION_MAX_KNOWLEDGE_POINTS",30000,,,,,,,
,,,,,,,,
"VILLAGE_ON_STRIKE_HOURS",1,,,,,,,
,,,,,,,,
"RESOURCES_PER_CARRIER",1,,,,,,,
,,,,,,,,
"DYNAMIC_VILLAGE_POSITIONS",,"true",,,,,,
"NATION_LOCATIONS_SPACING",125,,,,,,,
"NATION_LOCATIONS_BOUNDS_MIN_X",-2400,,,,,,,
