"Name","TID","InfoTID","IconSWF","IconExportName","BoostProfession","BoostProfessionAmount","BoostBuilding","BoostBuildingAmount","BoostNationBuilding","BoostNationBuildingAmount","WalkSpeedBoost","HungerPercentage"
"String","String","String","String","String","String","int","String","int","String","int","int","int"
"FasterPumpkins","TID_BOOST_PUMPKINS",,"sc/ui.sc","icon_pumpkin_speed_up",,,"PumpkinField",100,,,,
"FasterWood","TID_BOOST_WOOD",,"sc/ui.sc","icon_woodcutting_speed_up","Lumberjack",100,,,,,,
,,,,,"Forester",100,,,,,,
"FasterStone","TID_BOOST_STONE",,"sc/ui.sc","icon_stone_speed_up","Stonemason",100,,,,,,
"FasterWalking","TID_BOOST_WALKING",,"sc/ui.sc","icon_walking_speed_up",,,,,,,100,
"FasterResearch","TID_BOOST_RESEARCH",,"sc/ui.sc","icon_research_speed_up","Researcher",100,,,,,,
"NoHunger","TID_BOOST_NO_HUNGER",,"sc/ui.sc","icon_no_hunger_buffg",,,,,,,,0
"FasterNationPotionMaker","TID_BOOST_POTION_MAKER",,"sc/ui.sc","icon_potion_crafting_speed_up",,,,,"NationPotionMaker",100,,
"FasterWheatField","TID_BOOST_WHEAT_FIELD",,"sc/ui.sc","icon_wheat_field_speed_up",,,,,"WheatField",100,,
"FasterLumberjackAcademy","TID_BOOST_LUMBERJACK_ACADEMY",,"sc/ui.sc","icon_woodcutters_guild_speed_up",,,,,"LumberjackAcademy",100,,
"FasterNationBakery","TID_BOOST_BAKERY",,"sc/ui.sc","icon_bakery_crafting_speed_up",,,,,"NationBakery",100,,
"FasterSheepPasture","TID_BOOST_SHEEP_PASTURE",,"sc/ui.sc","icon_sheep_pasture_speed_up",,,,,"SheepPasture",100,,
"FasterResearchAcademy","TID_BOOST_RESEARCH_ACADEMY",,"sc/ui.sc","icon_researcher_guild_speed_up",,,,,"ResearchAcademy",100,,
"FasterConstructionAcademy","TID_BOOST_CONSTRUCTION_ACADEMY",,"sc/ui.sc","icon_builders_guild_speed_up",,,,,"ConstructionAcademy",100,,
"FasterClaydiggerAcademy","TID_BOOST_CLAYDIGGER_ACADEMY",,"sc/ui.sc","icon_clay_diggers_guild_speed_up",,,,,"ClaydiggerAcademy",100,,
"FasterStonemasonAcademy","TID_BOOST_STONEMASON_ACADEMY",,"sc/ui.sc","icon_stone_masons_guild_speed_up",,,,,"StonemasonAcademy",100,,
"FasterFarmerAcademy","TID_BOOST_FARMER_ACADEMY",,"sc/ui.sc","icon_farmers_guild_speed_up",,,,,"FarmerAcademy",100,,
"FasterNationTailor","TID_BOOST_TAILOR",,"sc/ui.sc","icon_tailor_crafting_speed_up",,,,,"NationTailor",100,,
"FasterNationCannery","TID_BOOST_CANNERY",,"sc/ui.sc","icon_preservist_crafting_speed_up",,,,,"NationCannery",100,,
"FasterNationDyeShop","TID_BOOST_DYE_SHOP",,"sc/ui.sc","icon_dye_maker_crafting_speed_up",,,,,"NationDyeShop",100,,
"FasterNationToyWorkshop","TID_BOOST_TOY_WORKSHOP",,"sc/ui.sc","icon_toy_maker_crafting_speed_up",,,,,"NationToyWorkshop",100,,
"FasterNationFishingSpot","TID_BOOST_FISHING_SPOT",,"sc/ui.sc","icon_fishing_speed_up",,,,,"NationFishingSpot",100,,
"FasterNationCottonField","TID_BOOST_COTTON_FIELD",,"sc/ui.sc","icon_cotton_field_speed_up",,,,,"NationCottonField",100,,
"FasterNationIndigoField","TID_BOOST_INDIGO_FIELD",,"sc/ui.sc","icon_indigo_field_speed_up",,,,,"NationIndigoField",100,,
"FasterNationSugarField","TID_BOOST_SUGAR_FIELD",,"sc/ui.sc","icon_sugar_field_speed_up",,,,,"NationSugarField",100,,
"FasterNationSaltField","TID_BOOST_SALT_FIELD",,"sc/ui.sc","icon_salt_field_speed_up",,,,,"NationSaltField",100,,
"FasterNationBlacksmith","TID_BOOST_BLACKSMITH",,"sc/ui.sc","icon_blacksmith_speed_up",,,,,"NationBlacksmith",100,,
"FasterBundleAcademy","TID_BOOST_BUNDLE_ACADEMY",,"sc/ui.sc","icon_valley_all_guilds_speed_up",,,,,"ResearchAcademy",100,,
,,,,,,,,,"ConstructionAcademy",100,,
,,,,,,,,,"ClaydiggerAcademy",100,,
,,,,,,,,,"StonemasonAcademy",100,,
,,,,,,,,,"FarmerAcademy",100,,
,,,,,,,,,"LumberjackAcademy",100,,
,,,,,,,,,"AnimalHandlingAcademy",100,,
"FasterBundleValleyCrafting","TID_BOOST_BUNDLE_VALLEY_CRAFTING",,"sc/ui.sc","icon_valley_all_crafting_buildings_speed_up",,,,,"NationBakery",100,,
,,,,,,,,,"NationTailor",100,,
,,,,,,,,,"NationPotionMaker",100,,
,,,,,,,,,"NationCannery",100,,
,,,,,,,,,"NationDyeShop",100,,
,,,,,,,,,"NationToyWorkshop",100,,
,,,,,,,,,"NationBlacksmith",100,,
